minu,meas,hundr,thous
0,-1.464409,-1.464525,-1.454803
15,-1.460964,-1.464525,-1.454803
30,-1.458668,-1.464525,-1.454803
45,-1.459816,-1.464525,-1.454803
60,-1.456946,-1.464525,-1.454803
75,-1.461538,-1.464525,-1.454803
90,-1.46039,-1.464525,-1.454803
105,-1.458668,-1.464525,-1.454803
120,-1.462113,-1.464525,-1.454803
135,-1.453502,-1.464525,-1.454803
150,-1.454076,-1.464525,-1.454803
165,-1.45178,-1.464525,-1.454803
180,-1.452354,-1.464525,-1.454803
195,-1.458668,-1.464525,-1.454803
210,-1.452354,-1.464525,-1.454803
225,-1.448909,-1.464525,-1.454803
240,-1.449483,-1.464525,-1.454803
255,-1.43054,-1.464525,-1.199433
270,-1.404133,-1.464525,-1.051728
285,-1.320321,-1.464525,-0.960305
300,-1.060276,-0.807768,-0.913633
315,-0.782434,-0.748618,-0.890333
330,-0.716992,-0.731357,-0.873437
345,-0.7112514,-0.731357,-0.859716
360,-0.7123995,-0.715102,-0.859716
375,-0.7152698,-0.715102,-0.861957
390,-0.716992,-0.731357,-0.861957
405,-0.7307692,-0.748618,-0.864216
420,-0.7669346,-0.748618,-0.866493
435,-0.7887486,-0.767006,-0.866493
450,-0.8088404,-0.786665,-0.868789
465,-0.8283582,-0.807768,-0.871103
480,-0.8467279,-0.830521,-0.871103
495,-0.8639495,-0.855173,-0.873437
510,-0.8828932,-0.855173,-0.87579
525,-0.8960964,-0.88203,-0.87579
540,-0.9064294,-0.88203,-0.882968
555,-0.9173364,-0.911472,-0.89283
570,-0.9282434,-0.911472,-0.903044
585,-0.9380023,-0.911472,-0.913633
600,-0.9477612,-0.943977,-0.921837
615,-0.9552239,-0.943977,-0.930279
630,-0.9632606,-0.943977,-0.938971
645,-0.9712974,-0.943977,-0.944911
660,-0.9799082,-0.980158,-0.954051
675,-0.9862227,-0.980158,-0.960305
690,-0.9936854,-0.980158,-0.966692
705,-1.000574,-0.980158,-0.973218
720,-1.006889,-0.980158,-0.979888
735,-1.013203,-0.980158,-0.986708
750,-1.020092,-1.020815,-0.993685
765,-1.025832,-1.020815,-0.997234
780,-1.030999,-1.020815,-1.004458
795,-1.035591,-1.020815,-1.008135
810,-1.03961,-1.020815,-1.011856
825,-1.044202,-1.020815,-1.019434
840,-1.049943,-1.020815,-1.023294
855,-1.052813,-1.067017,-1.027202
870,-1.056257,-1.067017,-1.031159
885,-1.06085,-1.067017,-1.039227
900,-1.06372,-1.067017,-1.043339
915,-1.068312,-1.067017,-1.047506
930,-1.072331,-1.067017,-1.051728
945,-1.075775,-1.067017,-1.056007
960,-1.078071,-1.067017,-1.060344
975,-1.08209,-1.067017,-1.06474
990,-1.085534,-1.067017,-1.06474
1005,-1.088404,-1.12023,-1.069198
1020,-1.091274,-1.12023,-1.073718
1035,-1.092423,-1.12023,-1.078302
1050,-1.097015,-1.12023,-1.082952
1065,-1.100459,-1.12023,-1.082952
1080,-1.102181,-1.12023,-1.087669
1095,-1.105052,-1.12023,-1.092455
1110,-1.107348,-1.12023,-1.097313
1125,-1.109644,-1.12023,-1.097313
1140,-1.113088,-1.12023,-1.102243
1155,-1.114237,-1.12023,-1.107248
1170,-1.117107,-1.12023,-1.107248
1185,-1.120551,-1.12023,-1.112329
1200,-1.122847,-1.12023,-1.112329
1215,-1.125144,-1.12023,-1.11749
1230,-1.128014,-1.12023,-1.122732
1245,-1.13031,-1.182533,-1.122732
1260,-1.131458,-1.182533,-1.128057
1275,-1.135476,-1.182533,-1.128057
1290,-1.137199,-1.182533,-1.133468
1305,-1.137773,-1.182533,-1.133468
1320,-1.139495,-1.182533,-1.138967
1335,-1.142939,-1.182533,-1.138967
1350,-1.144661,-1.182533,-1.144557
1365,-1.146958,-1.182533,-1.144557
1380,-1.148106,-1.182533,-1.15024
1395,-1.150402,-1.182533,-1.15024
1410,-1.15729,-1.182533,-1.15602
1425,-1.153846,-1.182533,-1.15602
